id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"410","10","32","231","1","1","0","4738968.96594, 3091968.32857","4873968.96594, 3511968.32857",552495.510043222
"411","10","33","232","1","1","0","4740427.94637, 3083399.96086","4873968.96594, 3511968.32857",556382.243396058
"423","11","3","233","0","0","0","4758855.99917, 3520655.9892","4873968.96594, 3511968.32857",136267.000152642
"424","11","4","234","0","0","0","4754248.2699, 3511617.89723","4873968.96594, 3511968.32857",136267.000152642
"425","11","5","235","1","1","0","4753968.96594, 3496968.32857","4873968.96594, 3511968.32857",143603.705259118
"426","11","6","236","1","0","0","4753968.96594, 3481968.32857","4873968.96594, 3511968.32857",150274.832570952
"427","11","7","237","0","0","0","4753968.96594, 3466968.32857","4873968.96594, 3511968.32857",165377.547017932
"428","11","8","238","1","0","0","4753968.96594, 3451968.32857","4873968.96594, 3511968.32857",170654.012092096
"429","11","9","239","1","1","0","4753968.96594, 3436968.32857","4873968.96594, 3511968.32857",207257.4454793
"430","11","10","240","1","1","0","4753968.96594, 3421968.32857","4873968.96594, 3511968.32857",195986.775129997
"431","11","11","241","1","1","0","4753968.96594, 3406968.32857","4873968.96594, 3511968.32857",203558.115495614
"432","11","12","242","0","0","0","4753968.96594, 3391968.32857","4873968.96594, 3511968.32857",212926.509519748
"433","11","13","243","1","1","0","4753968.96594, 3376968.32857","4873968.96594, 3511968.32857",236651.049093508
"434","11","14","244","1","1","0","4753968.96594, 3361968.32857","4873968.96594, 3511968.32857",228801.860138667
"435","11","15","245","0","1","0","4753968.96594, 3346968.32857","4873968.96594, 3511968.32857",233637.490836607
"436","11","16","246","0","1","0","4753968.96594, 3331968.32857","4873968.96594, 3511968.32857",241045.095096155
"437","11","17","247","0","1","0","4753968.96594, 3316968.32857","4873968.96594, 3511968.32857",296433.561346917
"438","11","18","248","0","1","0","4753968.96594, 3301968.32857","4873968.96594, 3511968.32857",298307.245926941
"439","11","19","249","1","0","0","4753968.96594, 3286968.32857","4873968.96594, 3511968.32857",315187.503510971
"440","11","20","250","1","1","0","4753968.96594, 3271968.32857","4873968.96594, 3511968.32857",334338.030425363
"441","11","21","251","1","1","0","4753968.96594, 3256968.32857","4873968.96594, 3511968.32857",344939.227648268
"442","11","22","252","1","1","0","4753968.96594, 3241968.32857","4873968.96594, 3511968.32857",352974.697748017
"443","11","23","253","0","1","0","4753968.96594, 3226968.32857","4873968.96594, 3511968.32857",383622.890685812
"444","11","24","254","1","1","0","4753968.96594, 3211968.32857","4873968.96594, 3511968.32857",385564.653726931
"445","11","25","255","1","1","0","4753968.96594, 3196968.32857","4873968.96594, 3511968.32857",390542.805759545
"446","11","26","256","0","1","0","4753968.96594, 3181968.32857","4873968.96594, 3511968.32857",426475.503951349
"447","11","27","257","1","1","0","4753968.96594, 3166968.32857","4873968.96594, 3511968.32857",441170.494229261
"448","11","28","258","1","1","0","4753968.96594, 3151968.32857","4873968.96594, 3511968.32857",458387.560830456
"449","11","29","259","1","1","0","4753968.96594, 3136968.32857","4873968.96594, 3511968.32857",476384.027101934
"450","11","30","260","1","1","0","4753968.96594, 3121968.32857","4873968.96594, 3511968.32857",492402.725930889
"451","11","31","261","1","1","0","4753968.96594, 3106968.32857","4873968.96594, 3511968.32857",504188.826773434
"452","11","32","262","1","1","0","4753968.96594, 3091968.32857","4873968.96594, 3511968.32857",534677.397019355
